countries,amount_wines
Italie,383
France,331
Espagne,94
États-Unis,74
Portugal,28
Argentine,23
Afrique du Sud,22
Chili,16
Allemagne,14
Australie,12
Hongrie,11
Moldavie,5
Suisse,2
Grèce,2
Roumanie,1
Israël,1
Croatie,1
